koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition
2.66903,1.548,3110.0,9.36823,1268.0,429.86,5803.5,4.07,1.56,FALSE POSITIVE
6.63371,2.122,1555.34,2.75375,610.0,22.9987,4138.1,4.54,0.63,FALSE POSITIVE
341.2811281,6.303026,972.5797241,4.7531892,846.173434,121.1597998,6058.6,4.2,1.39203,FALSE POSITIVE
4.0782392,4.8475616,6046.6959687,13.898174,1617.8267296,1619.0081232,6501.0,4.08,1.74836,CONFIRMED
7.14386,1.467,11146.4,22.1531,,,7860.0,4.15,1.91,FALSE POSITIVE
7.04083,2.979,1580.0,8.46404,1505.0,852.336,5317.0,4.49,0.91,FALSE POSITIVE
2.4545635,2.321,4248.0,11.1276,1899.0,2162.73,6610.0,4.15,1.64,FALSE POSITIVE
11.4756978,0.808,8341.0,14.1098,512.0,11.4585,7262.0,4.0,2.13,FALSE POSITIVE
2.78186,2.456,490.0,4.92567,1680.0,1323.21,6819.0,3.92,2.21,FALSE POSITIVE
6.4410082,1.798,7076.0,4.59203,471.0,8.2114,3469.0,4.71,0.53,FALSE POSITIVE
4.13812,3.911,5560.0,,1386.0,613.964,4898.4,,,FALSE POSITIVE
1.66226,3.321,6030.0,13.3343,2561.0,7149.89,7301.0,4.23,1.64,FALSE POSITIVE
4.07611,2.062,1454.18,,,,,,,FALSE POSITIVE
3.6245513,3.042,1299.0,4.3503,,919.571,6317.0,,1.38,FALSE POSITIVE
1.6268695,3.231,1502.0,2.36498,1850.0,1946.23,5034.0,4.64,0.73,FALSE POSITIVE
2.32439,4.453,2704.18,,4502.0,68217.5,8268.5,3.93,,FALSE POSITIVE
13.5499,1.795,1180.0,6.24633,660.0,31.6652,6209.0,4.09,1.63,FALSE POSITIVE
4.43651,3.365,1520.0,19.9664,2653.0,8233.41,7101.9,3.91,2.32,FALSE POSITIVE
8.34998,1.836,16680.0,11.1424,588.0,19.9348,4236.0,4.52,0.74,CONFIRMED
4.0686405,1.8373729,2650.0950013,3.7548333,772.378302,84.108766,4236.0,4.52,0.741921,CONFIRMED
1.5502952,2.938,411.0,3.34528,2839.0,10796.6,7851.0,4.17,1.86,FALSE POSITIVE
1.80709,3.297,450.0,4.86242,2569.0,7233.01,6244.0,3.84,2.2,FALSE POSITIVE
18.6922101,7.765,11126.0,18.1458,1141.0,282.175,6277.0,4.09,1.65,FALSE POSITIVE
8.0277326,4.284,5705.0,9.06883,1106.0,248.619,5962.7,4.38,1.15,CONFIRMED
12.5187279,5.38,2320.0,5.58857,1393.0,626.362,5729.0,4.47,0.98,CONFIRMED
6.2586065,3.201,813.0,2.51593,1087.0,232.392,5729.0,4.47,0.98,CONFIRMED
26.3208756,4.414,800.0,2.71349,631.0,26.4328,5729.0,4.47,0.98,CONFIRMED
18.795547,4.3425576,470.6731965,2.1597669,672.9826313,48.477077,5729.0,4.47,0.977727,CONFIRMED
0.64971,2.076,620.0,6.23181,4731.0,83182.0,9994.0,4.02,2.59,FALSE POSITIVE
13.7431084,2.285,5688.0,12.05,844.0,84.3234,5941.5,,1.34,FALSE POSITIVE
16.9487087,4.2887767,156467.5479643,45.2204505,758.5937679,78.263287,5894.7,4.37,1.1179,FALSE POSITIVE
3.3686634,3.012,3288.0,42.2321,2775.0,9856.24,7518.0,3.82,2.68,FALSE POSITIVE
11.2071839,4.366,3276.0,17.4989,1487.0,813.063,6152.0,3.84,2.24,FALSE POSITIVE
2.97164,1.534,7350.0,,2076.0,3089.18,8562.5,,,FALSE POSITIVE
